"NumberObject";"LESHOS";"LESNICH";"KZAS";"KV";"ADMR";"AKT";"FIRMA";"EX";"VYDEL";"PL";"KZM_M1";"OZU";"POR_M3";"BON";"TL";"TUM";"GRV";"ZAPV";"XOZS";"VOZRR";"KLVOZR";"XMER1";"XMER1P";"SUX";"XMER2";"POR_M2";"GOD_R";"PNI_W";"PNI_C";"DM";"NE2A";"PTK2";"PTK1";"TIP_M3";"ZAXLO";"ZAXLL";"OPT";"PTG";"MAPINFO_ID";"XMER3";"EKS";"KRUT";"LFLAG"
5399;21;2;"131802";74;"522";"14";"1";"21";3;21,00;1101;0;302600;"1Á";"ÊÈÑ";"Ä2";3;"65";"14";"35";"4";1435;40;;0;"100200";;;;;;;;;;;;23;83659;0;;;1
5400;21;2;"131802";74;"522";"14";"1";"21";4;8,00;1101;0;100200;"1À";"ÊÈÑ";"Ä2";4;"29";"3";"29";"4";0;0;;0;;;;;;;;;;"20";;;23;83660;0;;;1
5401;21;2;"131802";74;"522";"14";"1";"21";5;9,00;1101;0;100100;"3";"ÄÌ";"À4";5;"32";"1";"29";"5";0;0;;0;;;;;;;;;;;;;34;83661;0;;;1
5402;21;2;"131802";74;"522";"14";"1";"21";6;10,00;1101;0;302600;"1Á";"ÊÈÑ";"Ä2";3;"30";"14";"35";"4";1435;50;;3375;"100200";;;;;;;;;;;;23;83662;0;;;1
5403;21;2;"131802";74;"522";"14";"1";"21";7;23,00;1101;0;302600;"1À";"ÊÈÑ";"Ä2";3;"37";"14";"35";"3";1431;15;;0;"100200";;;;;;;;;;;;23;83663;0;;;1
5404;21;2;"131802";74;"522";"14";"1";"21";8;30,00;1101;0;302600;"1Á";"ÊÈÑ";"Ä2";3;"72";"14";"35";"4";0;0;;0;"100200";;;;;;;;;;;;23;83664;0;;;1
5405;21;2;"131802";74;"522";"14";"1";"21";9;31,00;1102;0;304000;"1À";"ÊÈÑ";"Ä2";1;"16";"15";"43";"1";1425;50;;3375;"100200";;;;;;;;;;;;23;83665;0;;;1
5406;21;2;"131802";74;"522";"14";"1";"21";10;6,00;1101;0;202300;"1";"ÊÈÑ";"Ä2";3;"19";"8";"25";"4";1435;15;;0;;;;;;;;;;;;;24;83666;0;;;1
5407;21;2;"131802";74;"522";"14";"1";"21";11;8,00;1101;0;304000;"1À";"ÊÈÑ";"Ä2";1;"3";"15";"43";"1";0;0;;0;"100200";;;;;;;;;"20";;;23;83667;0;;;1
5408;21;2;"131802";74;"522";"14";"1";"21";12;11,00;1101;0;304110;"1";"ÊÐ";"Ä4";5;"36";"16";"37";"6";1211;0;;3285;"202300";;;;;;;;;"20";;;24;83668;0;;;1
5409;21;2;"131802";74;"522";"14";"1";"21";13;7,00;1101;0;302600;"1À";"ÊÈÑ";"Ä2";3;"16";"14";"35";"3";1431;50;;3375;"100200";;;;;;;;;;;;23;83669;0;;;1
5410;21;2;"131802";74;"522";"14";"1";"21";14;39,00;1101;0;302600;"1À";"ÊÈÑ";"Ä2";3;"86";"14";"35";"3";1431;20;;0;"100200";;;;;;;;;;;;23;83670;0;;;1
5411;21;2;"131802";74;"522";"14";"1";"21";15;16,00;1101;0;304110;"1";"ÏÀÏ";"Ñ4";6;"58";"16";"37";"7";1211;0;;3285;;;;;;;;;;"20";;;31;83671;0;;;1
5412;21;2;"131802";74;"522";"14";"1";"21";16;66,00;1101;0;304110;"2";"ÎÑ";"Ñ5";6;"178";"16";"37";"7";1211;0;;3285;;;;;;;;;;"10";;;32;83672;0;;;1
5413;21;2;"131802";74;"522";"14";"1";"21";17;9,00;1101;0;304110;"1";"ÒÀÂ";"Ñ4";3;"14";"16";"37";"3";1431;30;;0;;;;;;;;;;;;;31;83673;0;;;1
5414;21;2;"131802";74;"522";"14";"1";"21";18;8,00;1106;0;302600;"1À";"ÊÈÑ";"Ä2";3;"18";"14";"35";"4";1435;15;;0;"100200";;;;;;;;;;;;23;83674;0;;;1
5415;21;2;"131802";74;"522";"14";"1";"21";19;4,00;1510;0;304110;"2";"ÒÀÂ";"Ñ4";0;;"16";"37";;3285;0;;0;"304110";;;;;;;;;;;;31;83675;0;;;1
5416;21;2;"131802";74;"522";"14";"1";"21";20;1,00;2307;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83676;0;;;1
5417;21;2;"131802";74;"522";"14";"1";"21";21;2,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83677;0;;;1
5418;21;2;"131802";75;"522";"14";"1";"21";1;9,00;1101;0;100200;"1";"ÊÈÑ";"Ä2";3;"15";"3";"29";"3";0;0;;0;;;;;;;;;;;;;23;83678;0;;;1
5419;21;2;"131802";75;"522";"14";"1";"21";2;12,00;1101;0;304110;"1";"ÑÍ";"Ä3";5;"50";"16";"37";"6";1211;0;;3211;;;;;;;;;;;;;24;83679;0;;;1
5420;21;2;"131802";75;"522";"14";"1";"21";3;27,00;1101;0;304000;"1À";"ÊÈÑ";"Ä2";7;"103";"15";"43";"7";1211;0;;3211;"100200";;;;;;;;;;;;23;83680;0;;;1
5421;21;2;"131802";75;"522";"14";"1";"21";4;96,00;1101;0;304110;"1";"ÑÍ";"Ä3";5;"374";"16";"37";"6";1211;0;;3211;"100200";;;;;;;;;;;;24;83681;0;;;1
5422;21;2;"131802";75;"522";"14";"1";"21";5;44,00;1101;0;304110;"1";"ÑÍ";"Ä3";5;"167";"16";"37";"6";1211;0;;3211;"100200";;;;;;;;;;;;24;83682;0;;;1
5423;21;2;"131802";75;"522";"14";"1";"21";6;4,00;2510;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83683;0;;;1
5424;21;2;"131802";75;"522";"14";"1";"21";7;43,00;1101;0;304110;"1";"ÏÀÏ";"Ñ4";5;"151";"16";"37";"6";1211;0;;3285;"202300";;;;;;;;;;;;21;83684;0;;;1
5425;21;2;"131802";75;"522";"14";"1";"21";8;21,00;1101;0;302600;"1";"ÊÈÑ";"Ä2";4;"63";"14";"35";"6";1435;15;;1470;"100200";;;;;;;;;"10";;;18;83685;0;;;1
5426;21;2;"131802";75;"522";"14";"1";"21";9;43,00;1509;0;202300;"1";"ÑÍ";"Ä3";0;;"8";"25";;3211;0;;0;"202300";"11";"500";;"32";;;;;;;;24;83686;0;;;1
5427;21;2;"131802";75;"522";"14";"1";"21";10;21,00;1101;0;302600;"1À";"ÊÈÑ";"Ä2";2;"19";"14";"35";"2";0;0;;0;"100200";;;;;;;;;;;;23;83687;0;;;1
5428;21;2;"131802";75;"522";"14";"1";"21";11;22,00;1101;0;304110;"2";"ÎÑ";"Ñ5";6;"68";"16";"37";"7";1211;0;;3285;;;;;;;;;;;;;42;83688;0;;;1
5429;21;2;"131802";75;"522";"14";"1";"21";12;26,00;1101;0;302600;"1";"ÊÈÑ";"Ä2";4;"78";"14";"35";"6";1435;15;;1470;"100200";;;;;;;;;"10";;;21;83689;0;;;1
5430;21;2;"131802";75;"522";"14";"1";"21";13;23,00;1101;0;304110;"1";"ÏÀÏ";"Ñ4";6;"97";"16";"37";"7";1211;0;;3285;;;;;;;;;;;;;41;83690;0;;;1
5431;21;2;"131802";75;"522";"14";"1";"21";14;57,00;1101;0;304110;"2";"ÎÑ";"Ñ5";6;"171";"16";"37";"7";1211;0;;3285;;;;;;;;;;;;;42;83691;0;;;1
5432;21;2;"131802";75;"522";"14";"1";"21";15;12,00;1103;0;302600;"1À";"ÎÐ";"Â2";3;"27";"14";"35";"3";1431;50;;3375;"100200";;;;;;;;;;;;22;83692;0;;;1
5433;21;2;"131802";75;"522";"14";"1";"21";16;18,00;1101;0;100200;"1À";"ÊÈÑ";"Ä2";3;"77";"3";"29";"3";1435;15;;1470;;;;;;;;;;;;;23;83693;0;;;1
5434;21;2;"131802";75;"522";"14";"1";"21";17;4,00;1101;0;304110;"1À";"ÊÐ";"Ä4";3;"13";"16";"37";"4";1435;20;;1470;;;;;;;;;;;;;41;83694;0;;;1
5435;21;2;"131802";75;"522";"14";"1";"21";18;13,00;1101;0;304110;"3";"ÎÑ";"Ñ5";4;"18";"16";"37";"5";0;0;;0;;;;;;;;;;;;;42;83695;0;;;1
5436;21;2;"131802";75;"522";"14";"1";"21";19;6,00;1510;0;304110;"1";"ÊÐ";"Ä4";0;;"16";"37";;3285;0;;0;"304110";;;;;;;;;;;;41;83696;0;;;1
5437;21;2;"131802";75;"522";"14";"1";"21";20;6,00;1101;0;304110;"1";"ÏÀÏ";"Ñ4";5;"19";"16";"37";"6";0;0;;0;;;;;;;;;;;;;41;83697;0;;;1
5438;21;2;"131802";75;"522";"14";"1";"21";21;1,00;2113;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83698;0;;;1
5439;21;2;"131802";75;"522";"14";"1";"21";22;3,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83699;0;;;1
5440;21;2;"131802";75;"522";"14";"1";"21";23;3,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83700;0;;;1
5441;21;2;"120800";76;"522";"14";"1";"21";7;11,00;1108;0;100200;"1";"ÌØ";"Â2";1;"10";"3";"29";"1";1425;30;;0;"100100";;;;;;;;;;;;9;83701;0;;;1
5442;21;2;"120800";76;"522";"14";"1";"21";8;13,00;1201;0;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;1411;40;;0;;;;;;;;;;;;;9;83702;0;;;1
5443;21;2;"120800";76;"522";"14";"1";"21";9;6,00;1103;0;302600;"1À";"ÎÐ";"Ñ2";3;"13";"14";"35";"4";1435;40;;3375;"100200";;;;;;;;;;;;22;83703;0;;;1
5444;21;2;"120800";76;"522";"14";"1";"21";11;41,00;1101;0;100100;"1";"ÎÐ";"Â2";6;"180";"1";"29";"6";1224;50;;3275;"100100";;;;;;;;;;;;9;83704;0;;;1
5445;21;2;"120800";76;"522";"14";"1";"21";12;15,00;1101;183;100100;"1À";"ÎÐ";"Â2";4;"51";"1";"29";"4";1842;0;;0;;;;;;;;;;;;;9;83705;0;;;1
5446;21;2;"120800";76;"522";"14";"1";"21";13;13,00;1108;0;100100;"1";"ÎÐ";"Â2";1;"2";"1";"29";"1";0;0;;0;;;;;;;;;;;;;9;83706;0;;;1
5447;21;2;"120800";76;"522";"14";"1";"21";16;10,00;1101;183;100100;"1";"ÎÐ";"Â2";6;"37";"1";"29";"6";1842;0;;0;;;;;;;;;;;;;9;83707;0;;;1
5448;21;2;"120800";76;"522";"14";"1";"21";17;9,00;1201;0;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;1411;40;;0;;;;;;;;;;;;;9;83708;0;;;1
5449;21;2;"120800";76;"522";"14";"1";"21";18;9,00;1101;183;100100;"1À";"ÎÐ";"Â2";4;"34";"1";"29";"4";1435;15;;0;;;;;;;;;;;;;9;83709;0;;;1
5450;21;2;"120800";76;"522";"14";"1";"21";19;6,00;1101;183;100100;"1À";"ÎÐ";"Â2";4;"27";"1";"29";"4";1435;20;;0;;;;;;;;;;;;;9;83710;0;;;1
5451;21;2;"120800";76;"522";"14";"1";"21";20;1,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83711;0;;;1
5452;21;2;"120800";76;"522";"14";"1";"21";22;2,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83712;0;;;1
5453;21;2;"131802";76;"522";"14";"1";"21";1;4,00;1101;0;302600;"1À";"ÊÈÑ";"Ä2";3;"9";"14";"35";"3";1431;50;;3375;"100200";;;;;;;;;;;;23;83713;0;;;1
5454;21;2;"131802";76;"522";"14";"1";"21";2;8,00;1101;0;302600;"1À";"ÊÈÑ";"Ä2";3;"18";"14";"35";"3";1431;20;;0;"100200";;;;;;;;;;;;23;83714;0;;;1
5455;21;2;"131802";76;"522";"14";"1";"21";3;32,00;1101;0;304110;"2";"ÎÑ";"Ñ5";6;"90";"16";"37";"7";1211;0;;3285;;;;;;;;;;;;;42;83715;0;;;1
5456;21;2;"131802";76;"522";"14";"1";"21";4;8,00;1101;0;304110;"2";"ÎÑ";"Ñ5";3;"10";"16";"37";"4";0;0;;0;;;;;;;;;;;;;32;83716;0;;;1
5457;21;2;"131802";76;"522";"14";"1";"21";5;32,00;1106;0;302600;"1À";"ÊÈÑ";"Ä2";3;"67";"14";"35";"4";1435;15;;0;"100200";;;;;;;;;;;;23;83717;0;;;1
5458;21;2;"131802";76;"522";"14";"1";"21";6;33,00;1106;0;302600;"1À";"ÊÈÑ";"Ä2";3;"73";"14";"35";"3";1431;20;;0;"100200";;;;;;;;;;;;23;83718;0;;;1
5459;21;2;"131802";76;"522";"14";"1";"21";10;14,00;1103;0;302600;"1À";"ÎÐ";"Ñ2";3;"29";"14";"35";"4";1435;30;;3375;"100200";;;;;;;;;;;;22;83719;0;;;1
5460;21;2;"131802";76;"522";"14";"1";"21";14;3,00;1108;0;100100;"1";"ÎÐ";"Â2";1;;"1";"29";"1";0;0;;0;;;;;;;;;;;;;9;83720;0;;;1
5461;21;2;"131802";76;"522";"14";"1";"21";15;34,00;1103;0;302600;"1À";"ÎÐ";"Ñ2";3;"72";"14";"35";"3";1431;40;;3375;"100200";;;;;;;;;"10";;;22;83721;0;;;1
5462;21;2;"131802";76;"522";"14";"1";"21";21;1,00;2310;0;0;;;;0;;;;;1845;0;;0;;;;;;;;;;;;;0;83722;0;;;1
5463;21;2;"120800";77;"522";"14";"1";"21";3;58,00;1101;0;100100;"1";"ÎÐ";"Â2";6;"267";"1";"29";"6";1224;50;;3275;"100100";;;;;;;;;;;;10;83723;0;;;1
5464;21;2;"120800";77;"522";"14";"1";"21";4;53,00;1101;183;100100;"1À";"ÎÐ";"Â2";4;"196";"1";"29";"4";1435;15;;0;;;;;;;;;;;;;11;83724;0;;;1
5465;21;2;"120800";77;"522";"14";"1";"21";5;38,00;1101;183;100100;"1À";"ÎÐ";"Â2";4;"152";"1";"29";"4";1435;15;;0;;;;;;;;;;;;;11;83725;0;;;1
5466;21;2;"120800";77;"522";"14";"1";"21";6;22,00;1101;0;100100;"1";"ÎÐ";"Â2";6;"92";"1";"29";"6";1224;50;;3275;"100100";;;;;;;;;;;;10;83726;0;;;1
5467;21;2;"120800";77;"522";"14";"1";"21";7;12,00;1201;0;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;1411;30;;0;;;;;;;;;;;;;11;83727;0;;;1
5468;21;2;"120800";77;"522";"14";"1";"21";8;4,00;1108;0;100100;"1À";"ÎÐ";"Â2";1;"2";"1";"29";"1";1704;0;;3211;"100100";;;;;;;;;;;;11;83728;0;;;1
5469;21;2;"120800";77;"522";"14";"1";"21";14;12,00;1101;373;100100;"1";"ÎÐ";"Â2";6;"55";"1";"29";"6";0;0;;0;;;;;;;;;;;;;10;83729;0;;;1
5470;21;2;"120800";77;"522";"14";"1";"21";15;6,00;1101;373;100100;"1";"ÎÐ";"Â2";6;"28";"1";"29";"6";0;0;;0;;;;;;;;;;;;;10;83730;0;;;1
5471;21;2;"120800";77;"522";"14";"1";"21";17;40,00;1101;0;100100;"1";"ÎÐ";"Â2";6;"168";"1";"29";"6";1224;50;;3275;"100100";;;;;;;;;;;;11;83731;0;;;1
5472;21;2;"120800";77;"522";"14";"1";"21";19;6,00;1103;0;100100;"1";"ÎÐ";"Â2";2;"13";"1";"29";"2";1431;40;;0;"100100";;;;;;;;;;;;11;83732;0;;;1
5473;21;2;"120800";77;"522";"14";"1";"21";27;2,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83733;0;;;1
5474;21;2;"120800";77;"522";"14";"1";"21";30;1,00;2313;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83734;0;;;1
5475;21;2;"120800";77;"522";"14";"1";"21";31;2,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83735;0;;;1
5476;21;2;"131802";77;"522";"14";"1";"21";9;1,00;1108;0;100100;"1À";"ÎÐ";"Â2";1;;"1";"29";"1";1704;0;;3211;"100100";;;;;;;;;;;;11;83736;0;;;1
5477;21;2;"131802";77;"522";"14";"1";"21";13;18,00;1101;0;100100;"1";"ÎÐ";"Â2";6;"74";"1";"29";"6";1224;50;;3275;"100100";;;;;;;;;;;;10;83737;0;;;1
5478;21;2;"131802";77;"522";"14";"1";"21";18;40,00;1108;0;100100;"1";"ÎÐ";"Â2";1;"48";"1";"29";"1";1425;30;;0;;;;;;;;;;;;;11;83738;0;;;1
5479;21;2;"131802";77;"522";"14";"1";"21";20;14,00;1103;0;302600;"1À";"ÎÐ";"Ñ2";3;"31";"14";"35";"3";1431;40;;0;"100100";;;;;;;;;"20";;;11;83739;0;;;1
5480;21;2;"131802";77;"522";"14";"1";"21";21;12,00;1103;0;302600;"1À";"ÎÐ";"Ñ2";3;"27";"14";"35";"3";1431;40;;0;"100100";;;;;;;;;;;;22;83740;0;;;1
5481;21;2;"131802";77;"522";"14";"1";"21";22;12,00;1101;0;302600;"1À";"ÎÐ";"Ñ2";3;"31";"14";"35";"4";1435;20;;0;"100100";;;;;;;;;;;;22;83741;0;;;1
5482;21;2;"131802";77;"522";"14";"1";"21";23;30,00;1101;0;302600;"1À";"ÎÐ";"Ñ2";6;"123";"14";"35";"8";1211;0;;3211;"100100";;;;;;;;;"20";;;22;83742;0;;;1
5483;21;2;"131802";77;"522";"14";"1";"21";24;5,00;1101;0;100100;"1À";"ÎÐ";"Â2";4;"20";"1";"29";"4";0;0;;0;;;;;;;;;;;;;9;83743;0;;;1
5484;21;2;"131802";77;"522";"14";"1";"21";25;2,00;1510;0;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;3285;0;;0;"100100";;;;;;;;;;;;11;83744;0;;;1
5485;21;2;"131802";77;"522";"14";"1";"21";26;3,00;1101;0;302600;"1À";"ÎÐ";"Â2";2;"4";"14";"35";"2";0;0;;0;"100100";;;;;;;;;;;;11;83745;0;;;1
5486;21;2;"131802";77;"522";"14";"1";"21";29;1,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83746;0;;;1
5487;21;2;"131802";77;"522";"14";"1";"21";33;3,00;2313;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83747;0;;;1
5488;21;2;"120800";77;"556";"14";"1";"21";1;8,00;1101;0;100100;"1";"ÌØ";"Â2";3;"26";"1";"29";"3";1435;20;;0;;;;;;;;;;;;;10;83748;0;;;1
5489;21;2;"120800";77;"556";"14";"1";"21";2;21,00;1108;0;100100;"1";"ÌØ";"À2";2;"50";"1";"29";"2";1431;25;;1470;;;;;;;;;;;;;8;83749;0;;;1
5490;21;2;"120800";77;"556";"14";"1";"21";32;1,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83750;0;;;1
5491;21;2;"131802";77;"556";"14";"1";"21";10;26,00;1101;0;100100;"1";"ÌØ";"À2";3;"57";"1";"29";"3";0;0;;0;;;;;;;;;;;;;10;83751;0;;;1
5492;21;2;"131802";77;"556";"14";"1";"21";11;11,00;1108;0;100100;"1À";"ÎÐ";"Â2";2;"26";"1";"29";"2";1431;20;;1470;;;;;;;;;;;;;10;83752;0;;;1
5493;21;2;"131802";77;"556";"14";"1";"21";12;51,00;1101;0;100100;"1";"ÌØ";"À2";3;"173";"1";"29";"3";1435;15;;0;;;;;;;;;;;;;10;83753;0;;;1
5494;21;2;"131802";77;"556";"14";"1";"21";16;6,00;1108;393;100100;"1";"ÌØ";"À2";3;"19";"1";"29";"3";0;0;;0;;;;;;;;;;;;;10;83754;0;;;1
5495;21;2;"131802";77;"556";"14";"1";"21";28;2,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83755;0;;;1
5496;21;2;"120800";78;"522";"14";"1";"21";2;49,00;1101;373;100100;"1";"ÎÐ";"Â2";1;"10";"1";"29";"1";0;0;;0;;;;;;;;;;;;;11;83756;0;;;1
5497;21;2;"120800";78;"522";"14";"1";"21";3;26,00;1101;0;100100;"1";"ÎÐ";"Â2";6;"114";"1";"29";"6";1224;50;;3275;"100100";;;;;;;;;;;;11;83757;0;;;1
5498;21;2;"120800";78;"522";"14";"1";"21";5;52,00;1101;183;100100;"1À";"ÎÐ";"Â2";4;"224";"1";"29";"4";1435;20;;1470;;;;;;;;;;;;;11;83758;0;;;1
5499;21;2;"120800";78;"522";"14";"1";"21";7;5,00;1201;0;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;1411;20;;0;;;;;;;;;;;;;11;83759;0;;;1
5500;21;2;"120800";78;"522";"14";"1";"21";8;4,00;1201;0;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;0;0;;0;;;;;;;;;;;;;11;83760;0;;;1
5501;21;2;"120800";78;"522";"14";"1";"21";9;5,00;1201;0;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;0;0;;0;;;;;;;;;;;;;11;83761;0;;;1
5502;21;2;"120800";78;"522";"14";"1";"21";11;17,00;1201;0;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;1414;0;;0;;;;;;;;;;;;;11;83762;0;;;1
5503;21;2;"120800";78;"522";"14";"1";"21";15;4,00;1201;0;100200;"1";"ÌØ";"Â2";0;;"3";"29";;1411;40;;0;"100100";;;;;;;;;;;;11;83763;0;;;1
5504;21;2;"120800";78;"522";"14";"1";"21";16;1,00;1201;0;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;0;0;;0;;;;;;;;;;;;;11;83764;0;;;1
5505;21;2;"120800";78;"522";"14";"1";"21";20;23,00;1101;0;100100;"1";"ÎÐ";"Â2";6;"94";"1";"29";"7";1211;0;"10";3211;;;;;;;;;;"10";;;11;83765;0;;;1
5506;21;2;"120800";78;"522";"14";"1";"21";21;15,00;1103;0;302600;"1À";"ÎÐ";"Â2";2;"18";"14";"35";"2";1425;50;;3375;"100100";;;;;;;;;;;;11;83766;0;;;1
5507;21;2;"120800";78;"522";"14";"1";"21";22;10,00;1108;0;100200;"1";"ÎÐ";"Ñ2";1;"3";"3";"29";"1";0;0;;0;;;;;;;;;;;;;22;83767;0;;;1
5508;21;2;"120800";78;"522";"14";"1";"21";23;8,00;1101;183;100100;"1";"ÌØ";"À2";4;"29";"1";"29";"4";1435;15;;0;;;;;;;;;;;;;8;83768;0;;;1
5509;21;2;"120800";78;"522";"14";"1";"21";24;9,00;1101;183;100100;"1";"×ÅÐ";"À3";4;"32";"1";"29";"4";1435;15;;0;;;;;;;;;;;;;12;83769;0;;;1
5510;21;2;"120800";78;"522";"14";"1";"21";25;2,00;1101;183;100100;"2";"×ÅÐ";"À3";6;"8";"1";"29";"7";0;0;;0;;;;;;;;;;;;;12;83770;0;;;1
5511;21;2;"120800";78;"522";"14";"1";"21";26;1,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83771;0;;;1
5512;21;2;"120800";78;"522";"14";"1";"21";27;1,00;2313;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83772;0;;;1
5513;21;2;"120800";78;"522";"14";"1";"21";28;2,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83773;0;;;1
5514;21;2;"131802";78;"522";"14";"1";"21";1;13,00;1101;0;100100;"1";"ÎÐ";"Â2";6;"60";"1";"29";"7";1224;50;;3275;"100100";;;;;;;;;"10";;;9;83774;0;;;1
5515;21;2;"131802";78;"522";"14";"1";"21";4;16,00;1101;0;100100;"1";"ÎÐ";"Â2";6;"74";"1";"29";"7";1224;50;;3275;"100100";;;;;;;;;;;;11;83775;0;;;1
5516;21;2;"131802";78;"522";"14";"1";"21";6;6,00;1101;0;100100;"1À";"ÎÐ";"Â2";4;"30";"1";"29";"4";1435;25;;0;;;;;;;;;;;;;11;83776;0;;;1
5517;21;2;"131802";78;"522";"14";"1";"21";17;23,00;1101;0;302600;"1À";"ÎÐ";"Ñ2";2;"32";"14";"35";"2";0;0;;0;"100100";;;;;;;;;;;;22;83777;0;;;1
5518;21;2;"131802";78;"522";"14";"1";"21";18;21,00;1108;0;100200;"2";"ÎÐ";"Ñ2";1;"6";"3";"29";"1";0;0;;0;;;;;;;;;;;;;22;83778;0;;;1
5519;21;2;"131802";78;"522";"14";"1";"21";29;1,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;83779;0;;;1
5520;21;2;"120800";78;"556";"14";"1";"21";12;10,00;1201;0;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;1414;0;;0;;;;;;;;;;;;;11;83780;0;;;1
5521;21;2;"131802";78;"556";"14";"1";"21";10;4,00;1101;0;100200;"1";"ÎÐ";"Ñ2";4;"11";"3";"29";"4";0;0;;0;;;;;;;;;;;;;11;83781;0;;;1
5522;21;2;"131802";78;"556";"14";"1";"21";13;1,00;1101;0;100200;"1";"ÎÐ";"Ñ2";4;"3";"3";"29";"4";0;0;;0;;;;;;;;;;"10";;;11;83782;0;;;1
5523;21;2;"131802";78;"556";"14";"1";"21";14;1,00;1101;0;100200;"1";"ÎÐ";"Ñ2";3;"3";"3";"29";"3";0;0;;0;;;;;;;;;;"40";;;11;83783;0;;;1
5524;21;2;"131802";78;"556";"14";"1";"21";19;6,00;1101;0;304000;"1À";"ÎÐ";"Â2";4;"10";"15";"43";"3";0;0;;0;"100100";;;;;;;;;;;;11;83784;0;;;1
5525;21;2;"120800";79;"522";"14";"1";"21";1;45,00;1101;183;100100;"1À";"ÎÐ";"Â2";4;"180";"1";"29";"4";1435;10;;0;;;;;;;;;;;;;11;83785;0;;;1
5526;21;2;"120800";79;"522";"14";"1";"21";2;8,00;1101;0;100100;"1";"ÎÐ";"Â2";6;"37";"1";"29";"6";1211;0;"10";3211;;;;;;;;;;;;;11;83786;0;;;1
5527;21;2;"120800";79;"522";"14";"1";"21";3;7,00;1106;0;302600;"1À";"ÎÐ";"Â2";3;"14";"14";"35";"3";1431;40;;3375;"100100";;;;;;;;;;;;11;83787;0;;;1
5528;21;2;"120800";79;"522";"14";"1";"21";4;8,00;1201;0;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;1411;40;;0;;;;;;;;;;;;;9;83788;0;;;1
5529;21;2;"120800";79;"522";"14";"1";"21";5;5,00;1201;183;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;1411;40;;0;;;;;;;;;;;;;9;83789;0;;;1
5530;21;2;"120800";79;"522";"14";"1";"21";6;3,00;1103;0;302600;"1À";"ÎÐ";"Ñ2";3;"7";"14";"35";"3";1431;50;;3375;"100100";;;;;;;;;;;;11;83790;0;;;1
5531;21;2;"120800";79;"522";"14";"1";"21";7;14,00;1201;0;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;1411;50;;0;;;;;;;;;;;;;9;83791;0;;;1
5532;21;2;"120800";79;"522";"14";"1";"21";10;9,00;1101;0;302600;"1";"ÎÐ";"Â2";1;"5";"14";"35";"1";0;0;;0;"100100";;;;;;;;;;;;9;83792;0;;;1
5533;21;2;"120800";79;"522";"14";"1";"21";11;11,00;1108;0;100100;"1";"ÎÐ";"Â2";1;"1";"1";"29";"1";0;0;;0;;;;;;;;;;;;;10;83793;0;;;1
5534;21;2;"120800";79;"522";"14";"1";"21";15;2,00;1108;0;100100;"1";"ÎÐ";"Â2";1;"2";"1";"29";"1";1425;15;;0;;;;;;;;;;;;;9;83794;0;;;1
5535;21;2;"120800";79;"522";"14";"1";"21";16;26,00;1101;0;100100;"1";"ÎÐ";"Â2";6;"104";"1";"29";"6";1224;50;"5";3275;"100100";;;;;;;;;"10";;;9;83795;0;;;1
5536;21;2;"120800";79;"522";"14";"1";"21";17;14,00;1101;183;100100;"1";"×ÅÐ";"Â3";4;"56";"1";"29";"4";1435;20;"10";1470;;;;;;;;;;"10";;;12;83796;0;;;1
